"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 20:35:01 GMT 2021","Thu Aug 12 20:35:14 GMT 2021","13050","test","test_conduit","TestConduit","","","test_listing_data",""
"broken","Thu Aug 12 20:35:34 GMT 2021","Thu Aug 12 20:35:43 GMT 2021","8981","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Thu Aug 12 20:35:14 GMT 2021","Thu Aug 12 20:35:23 GMT 2021","8243","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Thu Aug 12 20:35:24 GMT 2021","Thu Aug 12 20:35:33 GMT 2021","9100","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Aug 12 20:34:06 GMT 2021","Thu Aug 12 20:34:09 GMT 2021","2880","test","test_conduit","TestConduit","","","test_login",""
"passed","Thu Aug 12 20:33:54 GMT 2021","Thu Aug 12 20:33:54 GMT 2021","151","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 12 20:34:11 GMT 2021","Thu Aug 12 20:34:14 GMT 2021","3110","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Aug 12 20:33:55 GMT 2021","Thu Aug 12 20:34:04 GMT 2021","9840","test","test_conduit","TestConduit","","","test_registration",""
"broken","Thu Aug 12 20:34:47 GMT 2021","Thu Aug 12 20:34:59 GMT 2021","12185","test","test_conduit","TestConduit","","","test_delete_article",""
"broken","Thu Aug 12 20:34:26 GMT 2021","Thu Aug 12 20:34:46 GMT 2021","20344","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Thu Aug 12 20:34:14 GMT 2021","Thu Aug 12 20:34:25 GMT 2021","11053","test","test_conduit","TestConduit","","","test_create_new_article",""
