"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 19:03:07 GMT 2021","Wed Aug 11 19:03:08 GMT 2021","851","test","test_conduit","TestConduit","","","test_login",""
"failed","Wed Aug 11 19:03:38 GMT 2021","Wed Aug 11 19:04:30 GMT 2021","51951","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 19:03:12 GMT 2021","Wed Aug 11 19:03:21 GMT 2021","8969","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Aug 11 19:03:21 GMT 2021","Wed Aug 11 19:03:36 GMT 2021","15205","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Aug 11 19:02:55 GMT 2021","Wed Aug 11 19:03:05 GMT 2021","9815","test","test_conduit","TestConduit","","","test_registration",""
"broken","Wed Aug 11 19:02:53 GMT 2021","Wed Aug 11 19:02:53 GMT 2021","126","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"failed","Wed Aug 11 19:04:42 GMT 2021","Wed Aug 11 19:04:48 GMT 2021","6090","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Wed Aug 11 19:04:31 GMT 2021","Wed Aug 11 19:04:42 GMT 2021","11034","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Wed Aug 11 19:03:09 GMT 2021","Wed Aug 11 19:03:10 GMT 2021","991","test","test_conduit","TestConduit","","","test_logout",""
