"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 19:39:23 GMT 2021","Wed Aug 11 19:39:23 GMT 2021","155","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Wed Aug 11 19:41:14 GMT 2021","Wed Aug 11 19:41:21 GMT 2021","6209","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Wed Aug 11 19:39:42 GMT 2021","Wed Aug 11 19:39:51 GMT 2021","9246","test","test_conduit","TestConduit","","","test_create_new_article",""
"failed","Wed Aug 11 19:40:09 GMT 2021","Wed Aug 11 19:41:01 GMT 2021","52162","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 19:39:53 GMT 2021","Wed Aug 11 19:40:08 GMT 2021","15363","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Aug 11 19:39:39 GMT 2021","Wed Aug 11 19:39:40 GMT 2021","1171","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Aug 11 19:39:37 GMT 2021","Wed Aug 11 19:39:37 GMT 2021","954","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Aug 11 19:41:22 GMT 2021","Wed Aug 11 19:42:00 GMT 2021","37897","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Aug 11 19:41:03 GMT 2021","Wed Aug 11 19:41:14 GMT 2021","11191","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Wed Aug 11 19:39:25 GMT 2021","Wed Aug 11 19:39:35 GMT 2021","9798","test","test_conduit","TestConduit","","","test_registration",""
