"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 12:45:04 GMT 2021","Sun Aug 08 12:45:13 GMT 2021","8795","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Sun Aug 08 12:44:48 GMT 2021","Sun Aug 08 12:44:57 GMT 2021","9644","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Aug 08 12:45:14 GMT 2021","Sun Aug 08 12:45:29 GMT 2021","14896","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Sun Aug 08 12:44:59 GMT 2021","Sun Aug 08 12:45:00 GMT 2021","829","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Aug 08 12:45:01 GMT 2021","Sun Aug 08 12:45:02 GMT 2021","917","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 12:44:46 GMT 2021","Sun Aug 08 12:44:46 GMT 2021","189","test","test_conduit","TestConduit","","","test_home_page_appearances",""
