"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 09:39:10 GMT 2021","Sun Aug 08 09:39:30 GMT 2021","19784","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 09:38:59 GMT 2021","Sun Aug 08 09:39:08 GMT 2021","9527","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 09:38:57 GMT 2021","Sun Aug 08 09:38:57 GMT 2021","93","test","test_conduit","TestConduit","","","test_home_page_appearances",""
