"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 14:43:06 GMT 2021","Sun Aug 08 14:43:07 GMT 2021","1248","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 14:43:08 GMT 2021","Sun Aug 08 14:43:18 GMT 2021","9135","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Sun Aug 08 14:43:03 GMT 2021","Sun Aug 08 14:43:04 GMT 2021","932","test","test_conduit","TestConduit","","","test_login",""
"broken","Sun Aug 08 14:42:47 GMT 2021","Sun Aug 08 14:43:01 GMT 2021","14777","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 14:42:45 GMT 2021","Sun Aug 08 14:42:45 GMT 2021","142","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 08 14:43:19 GMT 2021","Sun Aug 08 14:43:35 GMT 2021","15946","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Sun Aug 08 14:43:37 GMT 2021","Sun Aug 08 14:43:51 GMT 2021","14535","test","test_conduit","TestConduit","","","test_delete_article",""
