"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 18:02:49 GMT 2021","Thu Aug 05 18:02:49 GMT 2021","51","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 05 18:02:50 GMT 2021","Thu Aug 05 18:02:56 GMT 2021","6127","test","test_conduit","TestConduit","","","test_registration",""
"broken","Thu Aug 05 18:03:05 GMT 2021","Thu Aug 05 18:03:22 GMT 2021","17725","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Aug 05 18:02:58 GMT 2021","Thu Aug 05 18:03:03 GMT 2021","4819","test","test_conduit","TestConduit","","","test_login",""
