"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 17:43:09 GMT 2021","Fri Aug 13 17:43:09 GMT 2021","108","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Fri Aug 13 17:44:35 GMT 2021","Fri Aug 13 17:44:44 GMT 2021","8191","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 17:43:30 GMT 2021","Fri Aug 13 17:43:42 GMT 2021","11438","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Fri Aug 13 17:43:27 GMT 2021","Fri Aug 13 17:43:30 GMT 2021","3060","test","test_conduit","TestConduit","","","test_logout",""
"broken","Fri Aug 13 17:43:43 GMT 2021","Fri Aug 13 17:44:07 GMT 2021","24120","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Fri Aug 13 17:43:22 GMT 2021","Fri Aug 13 17:43:25 GMT 2021","2903","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 17:44:22 GMT 2021","Fri Aug 13 17:44:35 GMT 2021","13035","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Fri Aug 13 17:43:11 GMT 2021","Fri Aug 13 17:43:20 GMT 2021","9673","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 17:45:22 GMT 2021","Fri Aug 13 17:45:46 GMT 2021","24551","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Fri Aug 13 17:44:45 GMT 2021","Fri Aug 13 17:44:54 GMT 2021","9015","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Fri Aug 13 17:44:09 GMT 2021","Fri Aug 13 17:44:21 GMT 2021","11990","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Fri Aug 13 17:44:56 GMT 2021","Fri Aug 13 17:45:20 GMT 2021","24502","test","test_conduit","TestConduit","","","test_sequential_data_input_from_csv",""
