"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:43:01 GMT 2021","Fri Aug 13 18:43:01 GMT 2021","117","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Fri Aug 13 18:43:21 GMT 2021","Fri Aug 13 18:43:32 GMT 2021","10764","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Fri Aug 13 18:44:40 GMT 2021","Fri Aug 13 18:44:49 GMT 2021","9005","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 18:43:13 GMT 2021","Fri Aug 13 18:43:16 GMT 2021","2919","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 18:43:33 GMT 2021","Fri Aug 13 18:43:58 GMT 2021","25084","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Fri Aug 13 18:44:16 GMT 2021","Fri Aug 13 18:44:29 GMT 2021","13025","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Fri Aug 13 18:44:30 GMT 2021","Fri Aug 13 18:44:38 GMT 2021","8137","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 18:43:16 GMT 2021","Fri Aug 13 18:43:19 GMT 2021","3036","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 18:44:49 GMT 2021","Fri Aug 13 18:45:14 GMT 2021","24469","test","test_conduit","TestConduit","","","test_sequential_data_input_from_csv",""
"passed","Fri Aug 13 18:43:59 GMT 2021","Fri Aug 13 18:44:16 GMT 2021","16938","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Fri Aug 13 18:45:14 GMT 2021","Fri Aug 13 18:45:39 GMT 2021","24464","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Fri Aug 13 18:43:02 GMT 2021","Fri Aug 13 18:43:12 GMT 2021","9728","test","test_conduit","TestConduit","","","test_registration",""
