"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:53:18 GMT 2021","Thu Aug 12 19:53:18 GMT 2021","133","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 12 19:53:35 GMT 2021","Thu Aug 12 19:53:38 GMT 2021","3087","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Aug 12 19:54:55 GMT 2021","Thu Aug 12 19:55:04 GMT 2021","9128","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Aug 12 19:53:39 GMT 2021","Thu Aug 12 19:53:50 GMT 2021","10962","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Aug 12 19:53:19 GMT 2021","Thu Aug 12 19:53:28 GMT 2021","9594","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 19:55:06 GMT 2021","Thu Aug 12 19:55:30 GMT 2021","24460","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Thu Aug 12 19:54:46 GMT 2021","Thu Aug 12 19:54:54 GMT 2021","8160","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Thu Aug 12 19:53:30 GMT 2021","Thu Aug 12 19:53:33 GMT 2021","2890","test","test_conduit","TestConduit","","","test_login",""
"broken","Thu Aug 12 19:53:51 GMT 2021","Thu Aug 12 19:54:11 GMT 2021","20209","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Thu Aug 12 19:54:31 GMT 2021","Thu Aug 12 19:54:44 GMT 2021","13110","test","test_conduit","TestConduit","","","test_listing_data",""
"broken","Thu Aug 12 19:54:13 GMT 2021","Thu Aug 12 19:54:30 GMT 2021","17073","test","test_conduit","TestConduit","","","test_delete_article",""
