"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:21:41 GMT 2021","Sun Aug 08 10:21:51 GMT 2021","9846","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 10:21:52 GMT 2021","Sun Aug 08 10:22:03 GMT 2021","10347","test","test_conduit","TestConduit","","","test_login",""
"broken","Sun Aug 08 10:22:04 GMT 2021","Sun Aug 08 10:22:21 GMT 2021","16451","test","test_conduit","TestConduit","","","test_logout",""
