"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:16:13 GMT 2021","Sun Aug 08 10:16:23 GMT 2021","10332","test","test_conduit","TestConduit","","","test_login",""
"broken","Sun Aug 08 10:16:25 GMT 2021","Sun Aug 08 10:16:36 GMT 2021","11586","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 10:16:02 GMT 2021","Sun Aug 08 10:16:11 GMT 2021","9487","test","test_conduit","TestConduit","","","test_registration",""
