"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 18:38:28 GMT 2021","Wed Aug 11 18:38:28 GMT 2021","124","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Wed Aug 11 18:38:53 GMT 2021","Wed Aug 11 18:39:08 GMT 2021","15042","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Aug 11 18:38:42 GMT 2021","Wed Aug 11 18:38:42 GMT 2021","975","test","test_conduit","TestConduit","","","test_logout",""
"failed","Wed Aug 11 18:39:08 GMT 2021","Wed Aug 11 18:39:24 GMT 2021","15859","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 18:38:43 GMT 2021","Wed Aug 11 18:38:52 GMT 2021","8986","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Wed Aug 11 18:38:29 GMT 2021","Wed Aug 11 18:38:38 GMT 2021","9689","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Aug 11 18:38:39 GMT 2021","Wed Aug 11 18:38:40 GMT 2021","903","test","test_conduit","TestConduit","","","test_login",""
