"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 15:02:06 GMT 2021","Sun Aug 08 15:02:06 GMT 2021","110","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"failed","Sun Aug 08 15:02:20 GMT 2021","Sun Aug 08 15:02:36 GMT 2021","15402","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Aug 08 15:02:07 GMT 2021","Sun Aug 08 15:02:16 GMT 2021","9499","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 15:02:18 GMT 2021","Sun Aug 08 15:02:19 GMT 2021","937","test","test_conduit","TestConduit","","","test_login",""
