"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 19:51:25 GMT 2021","Wed Aug 11 19:51:32 GMT 2021","7143","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Wed Aug 11 19:49:53 GMT 2021","Wed Aug 11 19:50:09 GMT 2021","15397","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Aug 11 19:49:39 GMT 2021","Wed Aug 11 19:49:41 GMT 2021","1578","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Aug 11 19:51:05 GMT 2021","Wed Aug 11 19:51:16 GMT 2021","11175","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Wed Aug 11 19:49:38 GMT 2021","Wed Aug 11 19:49:39 GMT 2021","947","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Aug 11 19:49:42 GMT 2021","Wed Aug 11 19:49:52 GMT 2021","9244","test","test_conduit","TestConduit","","","test_create_new_article",""
"broken","Wed Aug 11 19:51:33 GMT 2021","Wed Aug 11 19:52:11 GMT 2021","37805","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Wed Aug 11 19:51:17 GMT 2021","Wed Aug 11 19:51:24 GMT 2021","6223","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Wed Aug 11 19:49:25 GMT 2021","Wed Aug 11 19:49:25 GMT 2021","71","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"failed","Wed Aug 11 19:50:10 GMT 2021","Wed Aug 11 19:51:03 GMT 2021","52309","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Aug 11 19:49:27 GMT 2021","Wed Aug 11 19:49:36 GMT 2021","9534","test","test_conduit","TestConduit","","","test_registration",""
