"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 13:27:01 GMT 2021","Sun Aug 08 13:27:01 GMT 2021","117","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 08 13:27:03 GMT 2021","Sun Aug 08 13:27:12 GMT 2021","9648","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Aug 08 13:27:15 GMT 2021","Sun Aug 08 13:27:26 GMT 2021","11193","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Aug 08 13:27:13 GMT 2021","Sun Aug 08 13:27:14 GMT 2021","914","test","test_conduit","TestConduit","","","test_login",""
