"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 14:24:48 GMT 2021","Sun Aug 08 14:24:48 GMT 2021","873","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Aug 08 14:24:36 GMT 2021","Sun Aug 08 14:24:46 GMT 2021","9500","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Aug 08 14:24:50 GMT 2021","Sun Aug 08 14:24:57 GMT 2021","6972","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Aug 08 14:24:36 GMT 2021","Sun Aug 08 14:24:36 GMT 2021","144","test","test_conduit","TestConduit","","","test_home_page_appearances",""
