"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 17:41:16 GMT 2021","Sun Aug 08 17:41:25 GMT 2021","8905","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Sun Aug 08 17:41:01 GMT 2021","Sun Aug 08 17:41:11 GMT 2021","9814","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Aug 08 17:41:42 GMT 2021","Sun Aug 08 17:41:53 GMT 2021","10798","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Aug 08 17:41:13 GMT 2021","Sun Aug 08 17:41:14 GMT 2021","968","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Aug 08 17:42:21 GMT 2021","Sun Aug 08 17:42:27 GMT 2021","6169","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Aug 08 17:41:12 GMT 2021","Sun Aug 08 17:41:13 GMT 2021","885","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Aug 08 17:41:00 GMT 2021","Sun Aug 08 17:41:00 GMT 2021","154","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 08 17:41:25 GMT 2021","Sun Aug 08 17:41:40 GMT 2021","14945","test","test_conduit","TestConduit","","","test_modify_article",""
"broken","Sun Aug 08 17:41:54 GMT 2021","Sun Aug 08 17:42:20 GMT 2021","25437","test","test_conduit","TestConduit","","","test_listing_data",""
