"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 18:39:53 GMT 2021","Thu Aug 12 18:39:54 GMT 2021","1009","test","test_conduit","TestConduit","","","test_logout",""
"broken","Thu Aug 12 18:40:06 GMT 2021","Thu Aug 12 18:40:10 GMT 2021","3952","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Thu Aug 12 18:40:44 GMT 2021","Thu Aug 12 18:41:07 GMT 2021","22493","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Thu Aug 12 18:39:40 GMT 2021","Thu Aug 12 18:39:50 GMT 2021","9727","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 18:40:16 GMT 2021","Thu Aug 12 18:40:27 GMT 2021","11055","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Thu Aug 12 18:40:28 GMT 2021","Thu Aug 12 18:40:34 GMT 2021","6117","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Thu Aug 12 18:39:38 GMT 2021","Thu Aug 12 18:39:39 GMT 2021","104","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Thu Aug 12 18:40:36 GMT 2021","Thu Aug 12 18:40:43 GMT 2021","7019","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Aug 12 18:39:55 GMT 2021","Thu Aug 12 18:40:04 GMT 2021","9005","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Thu Aug 12 18:39:51 GMT 2021","Thu Aug 12 18:39:52 GMT 2021","913","test","test_conduit","TestConduit","","","test_login",""
"broken","Thu Aug 12 18:40:12 GMT 2021","Thu Aug 12 18:40:16 GMT 2021","3956","test","test_conduit","TestConduit","","","test_delete_article",""
