"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:31:59 GMT 2021","Fri Aug 13 21:32:12 GMT 2021","13057","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Fri Aug 13 21:32:34 GMT 2021","Fri Aug 13 21:32:59 GMT 2021","24477","test","test_conduit","TestConduit","","","test_sequential_data_input_from_csv",""
"passed","Fri Aug 13 21:32:14 GMT 2021","Fri Aug 13 21:32:22 GMT 2021","8230","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Fri Aug 13 21:30:54 GMT 2021","Fri Aug 13 21:30:57 GMT 2021","2905","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Aug 13 21:30:41 GMT 2021","Fri Aug 13 21:30:41 GMT 2021","178","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Fri Aug 13 21:30:42 GMT 2021","Fri Aug 13 21:30:52 GMT 2021","9678","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Aug 13 21:32:24 GMT 2021","Fri Aug 13 21:32:33 GMT 2021","9096","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Aug 13 21:31:02 GMT 2021","Fri Aug 13 21:31:13 GMT 2021","11058","test","test_conduit","TestConduit","","","test_create_new_article",""
"passed","Fri Aug 13 21:32:59 GMT 2021","Fri Aug 13 21:33:24 GMT 2021","24590","test","test_conduit","TestConduit","","","test_sequential_data_input",""
"passed","Fri Aug 13 21:30:57 GMT 2021","Fri Aug 13 21:31:00 GMT 2021","3119","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Aug 13 21:31:41 GMT 2021","Fri Aug 13 21:31:59 GMT 2021","17163","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Fri Aug 13 21:31:15 GMT 2021","Fri Aug 13 21:31:40 GMT 2021","25199","test","test_conduit","TestConduit","","","test_modify_article",""
