"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 14:18:40 GMT 2021","Sun Aug 08 14:18:40 GMT 2021","70","test","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 08 14:18:51 GMT 2021","Sun Aug 08 14:18:52 GMT 2021","882","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Aug 08 14:18:41 GMT 2021","Sun Aug 08 14:18:51 GMT 2021","9436","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Aug 08 14:18:54 GMT 2021","Sun Aug 08 14:19:01 GMT 2021","7002","test","test_conduit","TestConduit","","","test_listing_data",""
